Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Genre_Action,Genre_Adventure,Genre_Fighting,Genre_Misc,Genre_Platform,Genre_Puzzle,Genre_Racing,Genre_Role-Playing,Genre_Shooter,Genre_Simulation,Genre_Sports,Genre_Strategy,popularity
3565,The Incredible Hulk,GBA,2003.0,Universal Interactive,0.3333333333333333,0.125,0.0,0.0083333333333333,0.4666666666666667,True,False,False,False,False,False,False,False,False,False,False,False,0.06188175523211501
3566,Ms. Pac-Man Maze Madness,GBA,2004.0,Zoo Digital Publishing,0.3333333333333333,0.125,0.0,0.0083333333333333,0.4666666666666667,False,False,False,False,False,True,False,False,False,False,False,False,0.06188175523211501
3568,The Lord of the Rings: The Return of the King,GBA,2003.0,Electronic Arts,0.3333333333333333,0.125,0.0,0.0083333333333333,0.4666666666666667,True,False,False,False,False,False,False,False,False,False,False,False,0.06188175523211501
3571,The Sims: Bustin' Out,XB,2003.0,Electronic Arts,0.3333333333333333,0.1166666666666666,0.0,0.0166666666666666,0.4666666666666667,False,False,False,False,False,False,False,False,False,True,False,False,0.061521577958260736
3576,Yu-Gi-Oh! World Championship Tournament 2004,GBA,2004.0,Konami Digital Entertainment,0.3333333333333333,0.125,0.0,0.0083333333333333,0.4666666666666667,False,False,False,True,False,False,False,False,False,False,False,False,0.06188175523211501
3583,Battlefield 2: Modern Combat,XB,2005.0,Electronic Arts,0.325,0.125,0.0,0.0166666666666666,0.4666666666666667,False,False,False,False,False,False,False,False,True,False,False,False,0.06071445867709648
3586,Backyard NFL Football,GBA,2002.0,Infogrames,0.3333333333333333,0.125,0.0,0.0083333333333333,0.4666666666666667,False,False,False,False,False,False,False,False,False,False,True,False,0.06188175523211501
3592,Resident Evil 2,N64,1999.0,Virgin Interactive,0.325,0.075,0.0583333333333333,0.0083333333333333,0.4666666666666667,True,False,False,False,False,False,False,False,False,False,False,False,0.10557125223359642
3605,Barbie Groovy Games,GBA,2002.0,Universal Interactive,0.3333333333333333,0.125,0.0,0.0083333333333333,0.4666666666666667,False,False,False,True,False,False,False,False,False,False,False,False,0.06188175523211501
3606,Yu-Gi-Oh! Reshef of Destruction,GBA,2003.0,Konami Digital Entertainment,0.3333333333333333,0.125,0.0,0.0083333333333333,0.4666666666666667,False,False,False,False,False,False,False,False,False,False,False,True,0.06188175523211501
3607,Blinx: The Time Sweeper,XB,2002.0,Microsoft Game Studios,0.325,0.125,0.0,0.0166666666666666,0.4666666666666667,False,False,False,False,True,False,False,False,False,False,False,False,0.06071445867709648
3641,WWF Raw,XB,2002.0,THQ,0.3333333333333333,0.1083333333333333,0.0,0.0166666666666666,0.4583333333333333,False,False,True,False,False,False,False,False,False,False,False,False,0.060986628650057176
3670,Shrek 2,XB,2004.0,Activision,0.3333333333333333,0.1083333333333333,0.0,0.0166666666666666,0.4583333333333333,False,False,False,False,True,False,False,False,False,False,False,False,0.060986628650057176
3673,SpongeBob SquarePants: SuperSponge,GBA,2001.0,THQ,0.325,0.125,0.0,0.0083333333333333,0.4583333333333333,True,False,False,False,False,False,False,False,False,False,False,False,0.0605396866427472
3678,Tak and the Power of Juju,GBA,2003.0,THQ,0.325,0.125,0.0,0.0083333333333333,0.4583333333333333,False,False,False,False,True,False,False,False,False,False,False,False,0.0605396866427472
3681,Turok: Evolution,XB,2002.0,Acclaim Entertainment,0.325,0.1166666666666666,0.0,0.0166666666666666,0.4583333333333333,False,False,False,False,False,False,False,False,True,False,False,False,0.06017950936889292
3687,Red Dead Revolver,XB,2004.0,Take-Two Interactive,0.3333333333333333,0.1,0.0,0.0166666666666666,0.4583333333333333,False,False,False,False,False,False,False,False,True,False,False,False,0.06045167934185363
3694,The SpongeBob SquarePants Movie,XB,2004.0,THQ,0.3333333333333333,0.1,0.0,0.0166666666666666,0.45,False,False,False,False,True,False,False,False,False,False,False,False,0.06045167934185363
3708,The Fairly Odd Parents: Breakin' Da Rules,GBA,2003.0,THQ,0.325,0.1166666666666666,0.0,0.0083333333333333,0.45,False,False,False,False,True,False,False,False,False,False,False,False,0.060004737334543645
3736,Bratz: Rock Angelz,GBA,2004.0,THQ,0.325,0.1166666666666666,0.0,0.0083333333333333,0.45,False,False,False,True,False,False,False,False,False,False,False,False,0.060004737334543645
3772,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004.0,Sega,0.3333333333333333,0.0916666666666666,0.0,0.0166666666666666,0.4416666666666667,False,False,False,True,False,False,False,False,False,False,False,False,0.05991673003365007
3778,Blitz: The League,XB,2004.0,Midway Games,0.3333333333333333,0.0916666666666666,0.0,0.0166666666666666,0.4416666666666667,False,False,False,False,False,False,False,False,False,False,True,False,0.05991673003365007
3841,NCAA Football 2003,XB,2002.0,Electronic Arts,0.325,0.0916666666666666,0.0,0.0166666666666666,0.4333333333333333,False,False,False,False,False,False,False,False,False,False,True,False,0.058574661444282264
3861,Gun,XB,2005.0,Activision,0.3166666666666667,0.1,0.0,0.0166666666666666,0.4333333333333333,False,False,False,False,False,False,False,False,True,False,False,False,0.057767542163118024
3862,That's So Raven 2: Supernatural Style,GBA,2005.0,Disney Interactive Studios,0.3083333333333333,0.1166666666666666,0.0,0.0083333333333333,0.4333333333333333,False,True,False,False,False,False,False,False,False,False,False,False,0.05732060015580802
3869,Tony Hawk's Pro Skater 3,GBA,2002.0,Activision,0.3083333333333333,0.1166666666666666,0.0,0.0083333333333333,0.4333333333333333,False,False,False,False,False,False,False,False,False,False,True,False,0.05732060015580802
3870,Harry Potter and the Prisoner of Azkaban,GBA,2004.0,Electronic Arts,0.3083333333333333,0.1166666666666666,0.0,0.0083333333333333,0.4333333333333333,True,False,False,False,False,False,False,False,False,False,False,False,0.05732060015580802
3875,NFL 2K3,XB,2002.0,Sega,0.3166666666666667,0.0916666666666666,0.0,0.0166666666666666,0.4333333333333333,False,False,False,False,False,False,False,False,False,False,True,False,0.057232592854914464
3898,Madden NFL 2004,GC,2003.0,Electronic Arts,0.3333333333333333,0.0833333333333333,0.0,0.0083333333333333,0.425,False,False,False,False,False,False,False,False,False,False,True,False,0.05920700869109723
3906,"SpongeBob SquarePants: Lights, Camera, Pants!",GBA,2005.0,THQ,0.3083333333333333,0.1166666666666666,0.0,0.0083333333333333,0.425,False,False,False,True,False,False,False,False,False,False,False,False,0.05732060015580802
